"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2005-1-1","424.10","420.00","429.70","420.00","131.99K","-3.48%"
"2004-12-1","439.40","453.40","458.70","432.90","885.97K","-3.05%"
"2004-11-1","453.20","440.60","457.00","439.00","152.65K","5.32%"
"2004-10-1","430.30","420.40","432.00","410.50","913.35K","2.35%"
"2004-9-1","420.40","405.30","420.80","405.30","137.25K","2.11%"
"2004-8-1","411.70","393.40","415.50","388.30","70.61K","4.92%"
"2004-7-1","392.40","407.00","407.00","386.00","9.11K","-0.30%"
"2004-6-1","393.60","396.00","405.60","382.50","769.03K","-0.33%"
"2004-5-1","394.90","378.00","398.00","378.00","43.70K","1.78%"
"2004-4-1","388.00","427.50","433.00","378.60","1.01M","-9.41%"
"2004-3-1","428.30","398.90","428.50","398.90","120.45K","7.80%"
"2004-2-1","397.30","403.10","418.00","392.00","765.58K","-1.39%"
"2004-1-1","402.90","426.30","428.00","397.50","166.89K","-3.29%"
"2003-12-1","416.60","398.90","419.10","397.80","653.30K","4.67%"
"2003-11-1","398.00","398.00","402.00","391.30","54.43K","3.35%"
"2003-10-1","385.10","385.90","393.00","366.50","912.74K","-0.26%"
"2003-9-1","386.10","383.00","389.40","380.20","95.71K","2.60%"
"2003-8-1","376.30","355.50","374.30","346.00","60.86K","6.00%"
"2003-7-1","355.00","352.10","367.00","345.00","7.18K","2.39%"
"2003-6-1","346.70","364.00","370.50","343.50","709.93K","-5.17%"
"2003-5-1","365.60","345.00","371.00","345.00","98.77K","7.59%"
"2003-4-1","339.80","336.80","339.40","319.80","552.34K","0.86%"
"2003-3-1","336.90","353.50","353.50","328.50","58.33K","-3.93%"
"2003-2-1","350.70","368.90","390.80","342.40","760.38K","-4.99%"
"2003-1-1","369.10","347.50","372.70","347.50","82.43K","5.88%"
"2002-12-1","348.60","319.10","355.70","316.60","642.29K","9.69%"
"2002-11-1","317.80","321.50","323.50","317.60","28.40K","-0.31%"
"2002-10-1","318.80","324.30","325.50","309.10","589.66K","-1.97%"
"2002-9-1","325.20","327.30","327.30","320.10","53.34K","3.80%"
"2002-8-1","313.30","302.30","318.80","299.50","43.65K","2.99%"
"2002-7-1","304.20","317.00","326.00","302.00","5.76K","-3.24%"
"2002-6-1","314.40","327.50","331.50","316.60","569.50K","-4.00%"
"2002-5-1","327.50","314.20","330.20","314.20","74.24K","5.71%"
"2002-4-1","309.80","304.00","313.50","298.00","452.94K","2.01%"
"2002-3-1","303.70","303.90","305.80","301.50","29.62K","2.05%"
"2002-2-1","297.60","283.00","309.40","282.40","525.46K","5.20%"
"2002-1-1","282.90","282.60","284.30","281.40","55.33K","1.29%"
"2001-12-1","279.30","275.80","281.40","271.70","299.63K","1.60%"
"2001-11-1","274.90","281.10","282.30","272.10","56.45K","-2.10%"
"2001-10-1","280.80","293.70","295.90","275.80","389.79K","-4.49%"
"2001-9-1","294.00","276.30","295.50","272.80","34.52K","6.60%"
"2001-8-1","275.80","267.90","282.00","267.00","35.47K","2.95%"
"2001-7-1","267.90","267.00","272.40","265.80","2.73K","-1.51%"
"2001-6-1","272.00","266.80","279.80","265.50","384.58K","1.91%"
"2001-5-1","266.90","275.20","276.20","266.00","116.42K","0.76%"
"2001-4-1","264.90","259.10","269.50","255.80","363.30K","2.20%"
"2001-3-1","259.20","260.10","262.20","258.50","50.11K","-3.61%"
"2001-2-1","268.90","267.80","271.30","255.10","353.16K","0.34%"
"2001-1-1","268.00","274.50","274.50","265.10","53.74K","-2.51%"
"2000-12-1","274.90","273.20","279.90","270.30","292.59K","0.59%"
"2000-11-1","273.30","272.50","273.50","269.50","68.97K","2.09%"
"2000-10-1","267.70","277.30","279.90","263.50","376.98K","-3.32%"
"2000-9-1","276.90","276.00","282.20","275.50","50.35K","-1.39%"
"2000-8-1","280.80","280.30","281.80","272.60","16.04K","0.21%"
"2000-7-1","280.20","286.00","290.40","273.50","5.31K","-4.37%"
"2000-6-1","293.00","275.40","296.50","274.80","539.26K","6.62%"
"2000-5-1","274.80","275.10","277.20","274.50","40.56K","-0.43%"
"2000-4-1","276.00","281.50","291.50","276.40","292.95K","-1.92%"
"2000-3-1","281.40","279.00","283.00","277.50","61.62K","-4.74%"
"2000-2-1","295.40","286.00","326.90","285.00","710.14K","3.21%"
"2000-1-1","286.20","291.50","291.50","283.00","83.45K","-1.55%"
"1999-12-1","290.70","293.00","298.50","276.20","373.32K","-0.78%"
"1999-11-1","293.00","295.50","301.00","292.40","64.33K","-2.66%"
"1999-10-1","301.00","299.10","339.00","287.60","755.82K","0.50%"
"1999-9-1","299.50","311.10","322.40","295.10","132.64K","16.54%"
"1999-8-1","257.00","257.00","263.80","253.00","25.35K","-0.23%"
"1999-7-1","257.60","258.00","260.00","254.00","2.76K","-2.53%"
"1999-6-1","264.30","271.50","272.00","258.50","455.13K","-2.83%"
"1999-5-1","272.00","287.80","287.80","269.40","73.20K","-5.78%"
"1999-4-1","288.70","282.30","290.00","279.10","417.77K","2.41%"
"1999-3-1","281.90","282.50","282.80","280.60","46.20K","-2.52%"
"1999-2-1","289.20","288.50","292.60","285.00","426.47K","0.35%"
"1999-1-1","288.20","294.00","294.00","284.00","77.94K","-0.69%"
